Figure 7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,target,value,,Ecolohical sector,Human,Animal,Environment,,Host_phylogroup,A,B1,B2,C,D,F,G,cladeI,,Length_distribution,P1,P6,P7,P22,P9,P15,P11,P12,P24,P38,P57,P72,P76,P79,P98,P105,P114,P119,P128,P135,P187,P192,P197,,Copy_number,P1,P6,P7,P22,P9,P15,P11,P12,P24,P38,P57,P72,P76,P79,P98,P105,P114,P119,P128,P135,P187,P192,P197,,cir-group,Conj,mob_unconj,unmob,,ARG_number,P1,P6,P7,P22,P9,P15,P11,P12,P24,P38,P57,P72,P76,P79,P98,P105,P114,P119,P128,P135,P187,P192,P197
P22,Animal,3,,,,,,,,,,,,,,,,,,4.66809691,,,,,,,,,,,,,,,,,,,,,,,,,2.334743882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
P24,Animal,4,,,,,,,,,,,,,,,,,,4.66800364,,,,,,,,,,,,,,,,,,,,,,,,,1.298691951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
P38,Animal,1,,,,,,,,,,,,,,,,,,4.66808759,,,,,,,,,,,,,,,,,,,,,,,,,1.864754943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
P57,Animal,2,,,,,,,,,,,,,,,,,,4.66808759,,,,,,,,,,,,,,,,,,,,,,,,,1.568380515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
P72,Animal,3,,,,,,,,,,,,,,,,,,4.66810624,,,,,,,,,,,,,,,,,,,,,,,,,1.217477603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
P76,Animal,2,,,,,,,,,,,,,,,,,,4.66809691,,,,,,,,,,,,,,,,,,,,,,,,,1.456483611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
P79,Animal,1,,,,,,,,,,,,,,,,,,4.66805028,,,,,,,,,,,,,,,,,,,,,,,,,1.728846723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
P98,Animal,1,,,,,,,,,,,,,,,,,,4.66794767,,,,,,,,,,,,,,,,,,,,,,,,,1.195930641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
P105,Animal,2,,,,,,,,,,,,,,,,,,4.66807826,,,,,,,,,,,,,,,,,,,,,,,,,1.722130015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
P114,Animal,1,,,,,,,,,,,,,,,,,,4.66809691,,,,,,,,,,,,,,,,,,,,,,,,,1.565386158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
P119,Animal,1,,,,,,,,,,,,,,,,,,4.66805961,,,,,,,,,,,,,,,,,,,,,,,,,1.340780993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
P128,Animal,1,,,,,,,,,,,,,,,,,,4.66806893,,,,,,,,,,,,,,,,,,,,,,,,,3.335478842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
P135,Animal,1,,,,,,,,,,,,,,,,,,4.66622773,,,,,,,,,,,,,,,,,,,,,,,,,3.00386952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
P187,Animal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P192,Animal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P197,Animal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Environment,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6,Environment,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,Environment,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9,Environment,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,Environment,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12,Environment,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P15,Environment,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22,Environment,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P24,Environment,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P38,Environment,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P57,Environment,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P72,Environment,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P76,Environment,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
